case_id,text,category,risk_level,outcome,ipc_sections,what_to_do,how_to_do,when_to_do
11,Landlord is refusing to return my security deposit after I vacated the flat.,property,Medium,win,Indian Contract Act 1872 | Section 403 IPC (Dishonest misappropriation),"Send a written demand, followed by legal action for recovery.","[""Send formal emails/messages asking for the refund to create a paper trail."", ""Send a legal notice via a lawyer threatening civil/criminal action for breach of contract."", ""If unresolved, file a police complaint for criminal breach of trust, or approach a civil court for recovery.""]","Wait for the agreed refund period (usually 15-30 days), then send notice immediately."
12,Withholding of security advance deposit without any valid proof of damage to the rented property.,property,Medium,win,Indian Contract Act 1872 | Section 403 IPC (Dishonest misappropriation),"Send a written demand, followed by legal action for recovery.","[""Send formal emails/messages asking for the refund to create a paper trail."", ""Send a legal notice via a lawyer threatening civil/criminal action for breach of contract."", ""If unresolved, file a police complaint for criminal breach of trust, or approach a civil court for recovery.""]","Wait for the agreed refund period (usually 15-30 days), then send notice immediately."
13,Owner not refunding deposit money despite leaving the house in perfect condition.,property,Medium,win,Indian Contract Act 1872 | Section 403 IPC (Dishonest misappropriation),"Send a written demand, followed by legal action for recovery.","[""Send formal emails/messages asking for the refund to create a paper trail."", ""Send a legal notice via a lawyer threatening civil/criminal action for breach of contract."", ""If unresolved, file a police complaint for criminal breach of trust, or approach a civil court for recovery.""]","Wait for the agreed refund period (usually 15-30 days), then send notice immediately."
14,Neighbor has constructed a wall that encroaches upon my land.,property,High,win,Section 441 IPC (Criminal Trespass) | Section 329 BNS (Criminal Trespass) | Specific Relief Act 1963,File for an urgent injunction and officially measure the land.,"[""Apply to the local Tehsildar or Revenue Dept for official measurement and demarcation of land."", ""File an FIR at the local police station for criminal trespass."", ""Approach the Civil Court to get a 'Stay Order' (temporary injunction) to stop the construction immediately.""]",Extremely urgent. Take legal action the moment encroachment begins to prevent permanent structures.
15,Boundary dispute where adjacent plot owner is capturing my property legally.,property,High,win,Section 441 IPC (Criminal Trespass) | Section 329 BNS (Criminal Trespass) | Specific Relief Act 1963,File for an urgent injunction and officially measure the land.,"[""Apply to the local Tehsildar or Revenue Dept for official measurement and demarcation of land."", ""File an FIR at the local police station for criminal trespass."", ""Approach the Civil Court to get a 'Stay Order' (temporary injunction) to stop the construction immediately.""]",Extremely urgent. Take legal action the moment encroachment begins to prevent permanent structures.
16,Illegal encroachment on private land without permission.,property,High,win,Section 441 IPC (Criminal Trespass) | Section 329 BNS (Criminal Trespass) | Specific Relief Act 1963,File for an urgent injunction and officially measure the land.,"[""Apply to the local Tehsildar or Revenue Dept for official measurement and demarcation of land."", ""File an FIR at the local police station for criminal trespass."", ""Approach the Civil Court to get a 'Stay Order' (temporary injunction) to stop the construction immediately.""]",Extremely urgent. Take legal action the moment encroachment begins to prevent permanent structures.
17,My employer terminated me suddenly without giving mandatory notice period or severance pay.,labour,High,win,Industrial Disputes Act 1947 | State Shops and Establishments Act,Challenge the termination and claim your rightful severance and pending dues.,"[""Review your offer letter and company policy for notice period clauses."", ""Write a formal grievance email to HR outlining illegal termination."", ""Send a legal notice claiming outstanding salary, leave encashment, and severance."", ""File a complaint with the District Labour Commissioner if the company ignores the notice.""]",Send the grievance email immediately. Issue a legal notice within 15-30 days of termination.
18,Fired from company without any prior warning or compensation after years of service.,labour,High,win,Industrial Disputes Act 1947 | State Shops and Establishments Act,Challenge the termination and claim your rightful severance and pending dues.,"[""Review your offer letter and company policy for notice period clauses."", ""Write a formal grievance email to HR outlining illegal termination."", ""Send a legal notice claiming outstanding salary, leave encashment, and severance."", ""File a complaint with the District Labour Commissioner if the company ignores the notice.""]",Send the grievance email immediately. Issue a legal notice within 15-30 days of termination.
19,Wrongful termination by HR without following proper retrenchment procedures.,labour,High,win,Industrial Disputes Act 1947 | State Shops and Establishments Act,Challenge the termination and claim your rightful severance and pending dues.,"[""Review your offer letter and company policy for notice period clauses."", ""Write a formal grievance email to HR outlining illegal termination."", ""Send a legal notice claiming outstanding salary, leave encashment, and severance."", ""File a complaint with the District Labour Commissioner if the company ignores the notice.""]",Send the grievance email immediately. Issue a legal notice within 15-30 days of termination.
20,Senior manager is sexually harassing me in the workplace.,labour,High,win,POSH Act 2013 | Section 354A IPC (Sexual Harassment) | Section 74 BNS (Sexual Harassment),Report and escalate immediately strictly following the POSH guidelines.,"[""File a formal written complaint to the Internal Complaints Committee (ICC) of the company."", ""Preserve all evidence (emails, WhatsApp chats, witness statements)."", ""If the company lacks an ICC or ignores it, file a complaint with the Local Complaints Committee (LCC) at the district level."", ""File a zero FIR at the nearest police station under Section 354A.""]",Must file the ICC complaint within 3 months of the last incident occurring.
21,"Sexual harassment at office by colleague, HR is not taking my complaint seriously.",labour,High,win,POSH Act 2013 | Section 354A IPC (Sexual Harassment) | Section 74 BNS (Sexual Harassment),Report and escalate immediately strictly following the POSH guidelines.,"[""File a formal written complaint to the Internal Complaints Committee (ICC) of the company."", ""Preserve all evidence (emails, WhatsApp chats, witness statements)."", ""If the company lacks an ICC or ignores it, file a complaint with the Local Complaints Committee (LCC) at the district level."", ""File a zero FIR at the nearest police station under Section 354A.""]",Must file the ICC complaint within 3 months of the last incident occurring.
22,Hostile work environment created by inappropriate sexual advances from boss.,labour,High,win,POSH Act 2013 | Section 354A IPC (Sexual Harassment) | Section 74 BNS (Sexual Harassment),Report and escalate immediately strictly following the POSH guidelines.,"[""File a formal written complaint to the Internal Complaints Committee (ICC) of the company."", ""Preserve all evidence (emails, WhatsApp chats, witness statements)."", ""If the company lacks an ICC or ignores it, file a complaint with the Local Complaints Committee (LCC) at the district level."", ""File a zero FIR at the nearest police station under Section 354A.""]",Must file the ICC complaint within 3 months of the last incident occurring.
23,Company is deducting Provident Fund (PF) from my salary but not depositing it into my EPFO account.,labour,High,win,Employees Provident Funds and Miscellaneous Provisions Act 1952 | Section 405 IPC (Criminal Breach of Trust),Complain to the EPFO and initiate criminal proceedings against directors.,"[""Download your EPF passbook and gather all salary slips showing deductions."", ""File an online grievance on the EPFiGMS portal (epfigms.gov.in)."", ""Submit a written complaint to the Regional PF Commissioner with evidence."", ""Since PF default is a criminal offense, you can also file an FIR for criminal breach of trust.""]",As soon as you notice the missing deposits on the portal.
24,Employer is not remitting my PF contributions causing financial loss.,labour,High,win,Employees Provident Funds and Miscellaneous Provisions Act 1952 | Section 405 IPC (Criminal Breach of Trust),Complain to the EPFO and initiate criminal proceedings against directors.,"[""Download your EPF passbook and gather all salary slips showing deductions."", ""File an online grievance on the EPFiGMS portal (epfigms.gov.in)."", ""Submit a written complaint to the Regional PF Commissioner with evidence."", ""Since PF default is a criminal offense, you can also file an FIR for criminal breach of trust.""]",As soon as you notice the missing deposits on the portal.
25,EPF fraud by employer over several years.,labour,High,win,Employees Provident Funds and Miscellaneous Provisions Act 1952 | Section 405 IPC (Criminal Breach of Trust),Complain to the EPFO and initiate criminal proceedings against directors.,"[""Download your EPF passbook and gather all salary slips showing deductions."", ""File an online grievance on the EPFiGMS portal (epfigms.gov.in)."", ""Submit a written complaint to the Regional PF Commissioner with evidence."", ""Since PF default is a criminal offense, you can also file an FIR for criminal breach of trust.""]",As soon as you notice the missing deposits on the portal.
26,I paid the full advance amount to a real estate builder 3 years ago but the flat construction never started.,fraud,High,win,RERA Act 2016 | Consumer Protection Act 2019 | Section 420 IPC (Cheating),File a strong complaint with the real estate regulatory authority.,"[""Collect the builder-buyer agreement, payment receipts, and brochures."", ""File an online complaint with your State's RERA (Real Estate Regulatory Authority) demanding possession with delay penalty, or a full refund with interest."", ""Alternatively, approach the National Consumer Disputes Redressal Commission (NCDRC)."", ""File a parallel FIR against the builder for cheating and fraud.""]",As soon as the builder breaches the promised handover date.
27,Real estate developer disappeared after taking booking money for apartment.,fraud,High,win,RERA Act 2016 | Consumer Protection Act 2019 | Section 420 IPC (Cheating),File a strong complaint with the real estate regulatory authority.,"[""Collect the builder-buyer agreement, payment receipts, and brochures."", ""File an online complaint with your State's RERA (Real Estate Regulatory Authority) demanding possession with delay penalty, or a full refund with interest."", ""Alternatively, approach the National Consumer Disputes Redressal Commission (NCDRC)."", ""File a parallel FIR against the builder for cheating and fraud.""]",As soon as the builder breaches the promised handover date.
28,Builder fraud where possession of flat is delayed indefinitely without refund.,fraud,High,win,RERA Act 2016 | Consumer Protection Act 2019 | Section 420 IPC (Cheating),File a strong complaint with the real estate regulatory authority.,"[""Collect the builder-buyer agreement, payment receipts, and brochures."", ""File an online complaint with your State's RERA (Real Estate Regulatory Authority) demanding possession with delay penalty, or a full refund with interest."", ""Alternatively, approach the National Consumer Disputes Redressal Commission (NCDRC)."", ""File a parallel FIR against the builder for cheating and fraud.""]",As soon as the builder breaches the promised handover date.
29,My spouse wants a mutual consent divorce.,family,Low,win,Hindu Marriage Act 1955 (Sec 13B) | Special Marriage Act 1954 (Sec 28),Draft a joint petition and terms of settlement.,"[""Hire a common lawyer to draft an MoU defining alimony, child custody, and property division."", ""File a joint petition in the Family Court."", ""Wait for the mandatory 6-month 'cooling off' period (can be waived by the Supreme Court)."", ""Appear for the second motion to get the final decree.""]",You must be living separately for at least 1 year before filing.
30,We have decided to separate amicably and file for divorce.,family,Low,win,Hindu Marriage Act 1955 (Sec 13B) | Special Marriage Act 1954 (Sec 28),Draft a joint petition and terms of settlement.,"[""Hire a common lawyer to draft an MoU defining alimony, child custody, and property division."", ""File a joint petition in the Family Court."", ""Wait for the mandatory 6-month 'cooling off' period (can be waived by the Supreme Court)."", ""Appear for the second motion to get the final decree.""]",You must be living separately for at least 1 year before filing.
31,Filing for mutual divorce without contested litigation.,family,Low,win,Hindu Marriage Act 1955 (Sec 13B) | Special Marriage Act 1954 (Sec 28),Draft a joint petition and terms of settlement.,"[""Hire a common lawyer to draft an MoU defining alimony, child custody, and property division."", ""File a joint petition in the Family Court."", ""Wait for the mandatory 6-month 'cooling off' period (can be waived by the Supreme Court)."", ""Appear for the second motion to get the final decree.""]",You must be living separately for at least 1 year before filing.
32,I bought a defective mobile phone and the company refuses to honor the warranty.,consumer,Low,lose,Consumer Protection Act 2019,File a formal complaint in a consumer court.,"[""Send a legal notice to the company giving them 15 days to refund/replace."", ""Register a grievance on the National Consumer Helpline (NCH)."", ""If unresolved, file an e-Daakhil complaint online at the District Consumer Commission."", ""Upload invoices, warranty cards, and communication proofs.""]",Consumer complaint must be filed within 2 years from the date of the defect/issue.
33,E-commerce site delivered a fake product and rejected my return request.,consumer,Low,lose,Consumer Protection Act 2019,File a formal complaint in a consumer court.,"[""Send a legal notice to the company giving them 15 days to refund/replace."", ""Register a grievance on the National Consumer Helpline (NCH)."", ""If unresolved, file an e-Daakhil complaint online at the District Consumer Commission."", ""Upload invoices, warranty cards, and communication proofs.""]",Consumer complaint must be filed within 2 years from the date of the defect/issue.
34,Car dealership sold me a faulty vehicle and service center is avoiding me.,consumer,Low,lose,Consumer Protection Act 2019,File a formal complaint in a consumer court.,"[""Send a legal notice to the company giving them 15 days to refund/replace."", ""Register a grievance on the National Consumer Helpline (NCH)."", ""If unresolved, file an e-Daakhil complaint online at the District Consumer Commission."", ""Upload invoices, warranty cards, and communication proofs.""]",Consumer complaint must be filed within 2 years from the date of the defect/issue.
35,"### Instruction:
Draft a hypothetical legal petition based on the provided case.

### Response:
",lawyer_generated,High,win,Writ Petition under Article 32 of the Constitution of India,"Legal Strategy: Issue a writ of certiorari or any other appropriate writ, order, or direction quashing the impugned transfer order dated [Date].
2. Declare the transfer of the petitioner from the post of Chief Secret...","[""Establish the primary legal grounds: The transfer of the petitioner from the post of Chief Secretary to the posts of Deputy Chairman and Special Officer is arbitrary, discriminatory, and mala fide.\n2. The transfer violates the petitioner's fundamental rights under Articles 14, 16, and 311 of the Constitution.\n3. The transferred posts were not shown to be inferior in status and responsibility compared to the post of Chief Secretary.\n4. There is no evidence to establish mala fides in the transfer.\n\nPrayer:"", ""File for interim relief: Stay the operation and implementation of the impugned transfer order dated [Date] pending the final disposal of this Writ Petition.\n2. Direct the State of Tamil Nadu to maintain the status quo ante with regard to the petitioner's position as Chief Secretary until the final disposal of this Writ Petition.\n\nGrounds for the Petition:"", ""Draft and file the comprehensive legal petition in the appropriate court.""]",This is a formal petition requirement; act immediately within statutory limits.
36,"### Instruction:
Draft a hypothetical legal petition based on the provided case.

### Response:
",lawyer_generated,High,win,Writ Petition under Article 32 of the Constitution of India,Legal Strategy: Consult a lawyer immediately and draft a formal legal petition....,"[""Draft and file the comprehensive legal petition in the appropriate court.""]",This is a formal petition requirement; act immediately within statutory limits.
37,"### Instruction:
Draft a hypothetical legal petition based on the provided case.

### Response:
",lawyer_generated,High,win,Indian Penal Code / Constitutional Law,Legal Strategy: Consult a lawyer immediately and draft a formal legal petition....,"[""Draft and file the comprehensive legal petition in the appropriate court.""]",This is a formal petition requirement; act immediately within statutory limits.
38,"### Instruction:
Draft a hypothetical legal petition based on the provided case.

### Response:
",lawyer_generated,High,win,Indian Penal Code / Constitutional Law,Legal Strategy: Consult a lawyer immediately and draft a formal legal petition....,"[""Draft and file the comprehensive legal petition in the appropriate court.""]",This is a formal petition requirement; act immediately within statutory limits.
39,"### Instruction:
Draft a hypothetical legal petition based on the provided case.

### Response:
",lawyer_generated,High,win,Indian Penal Code / Constitutional Law,Legal Strategy: Consult a lawyer immediately and draft a formal legal petition....,"[""Draft and file the comprehensive legal petition in the appropriate court.""]",This is a formal petition requirement; act immediately within statutory limits.
40,"### Instruction:
Draft a hypothetical legal petition based on the provided case.

### Response:
",lawyer_generated,High,win,Indian Penal Code / Constitutional Law,Legal Strategy: Consult a lawyer immediately and draft a formal legal petition....,"[""Draft and file the comprehensive legal petition in the appropriate court.""]",This is a formal petition requirement; act immediately within statutory limits.
41,"### Instruction:
Draft a hypothetical legal petition based on the provided case.

### Response:
",lawyer_generated,High,win,Indian Penal Code / Constitutional Law,Legal Strategy: Consult a lawyer immediately and draft a formal legal petition....,"[""Draft and file the comprehensive legal petition in the appropriate court.""]",This is a formal petition requirement; act immediately within statutory limits.
42,"### Instruction:
Draft a hypothetical legal petition based on the provided case.

### Response:
",lawyer_generated,High,win,Indian Penal Code / Constitutional Law,Legal Strategy: Consult a lawyer immediately and draft a formal legal petition....,"[""Draft and file the comprehensive legal petition in the appropriate court.""]",This is a formal petition requirement; act immediately within statutory limits.
43,"### Instruction:
Draft a hypothetical legal notice based on the facts of the provided case.

### Response:
",lawyer_generated,High,win,Legal Notice - Violation of Fundamental Right to Education,Legal Strategy: Consult a lawyer immediately and draft a formal legal petition....,"[""Draft and file the comprehensive legal petition in the appropriate court.""]",This is a formal petition requirement; act immediately within statutory limits.
